employee_id,age,gender,marital_status,education_level,department,job_role,job_level,monthly_income,stock_option_level,salary_hike_pct,years_at_company,total_working_years,years_since_promotion,num_prior_companies,work_mode,commute_minutes,overtime_hours_per_week,business_travel_days_per_year,training_hours,manager_support_score,burnout_score,engagement_score,work_life_balance_score,performance_rating,last_review_score,uses_ai_tools_at_work,perceived_ai_job_risk,attrition
1017,33,Male,Single,Bachelors,Marketing,Content Strategist,3,7168,0,5.2,9,13,1.9,4,Hybrid,57,6.9,4,22,7.3,3.3,6.9,6.2,3,7.2,FALSE,4,No
1018,37,Male,Married,Masters,Sales,Sales Development Rep,3,7579,1,13.1,4.3,6.8,0,0,Hybrid,50,6.9,19,37,6.7,4.2,7.6,5.9,3,7.1,TRUE,6.1,No
1019,42,Male,Single,Bachelors,Engineering,Engineering Manager,4,9198,1,14.9,10.8,15.9,1.8,1,Hybrid,44,10.1,6,26,6.3,4.8,6.9,4.9,4,9.5,FALSE,1,Yes
1020,51,Female,Single,High School,Engineering,Software Engineer,5,11277,2,14.8,10,20.9,0.4,5,Remote,10,7.3,2,33,7.5,1.9,9.3,7.5,3,8,FALSE,2.1,No
1021,29,Male,Single,Bachelors,Marketing,Marketing Specialist,1,2897,1,14.2,6.6,9,2,1,Remote,7,8.1,7,40,7.1,4.1,7.6,6.4,4,7.2,TRUE,3.6,No
1022,38,Male,Married,Masters,Sales,Sales Manager,4,9683,3,11.3,13.3,18,3.6,3,Onsite,17,3.1,24,46,8,2.7,6.9,7.1,4,10,FALSE,6.5,No
1023,36,Male,Single,PhD,Operations,Program Manager,3,8419,2,10.7,11.6,16,2.7,1,Remote,10,4.9,20,25,5.7,3.6,6.5,5.6,4,6.9,FALSE,6,No
1024,26,Male,Married,PhD,Engineering,Data Engineer,1,4368,0,12.6,3.9,6,3.9,0,Remote,8,6.3,8,32,6.5,2.8,9.2,7.6,5,8.1,FALSE,3.9,No
1025,28,Male,Single,Masters,Marketing,Marketing Specialist,2,6096,1,11.8,5.5,8,0.7,1,Remote,5,5,8,26,6.3,2.8,6.6,8.9,4,9.7,TRUE,6.3,No
1026,40,Female,Married,Bachelors,Sales,Sales Manager,4,10168,2,17.4,8.8,12.7,1.1,1,Onsite,45,7.5,22,24,6.4,1.7,7.3,7.4,4,9.8,FALSE,4.8,No
1027,31,Female,Married,Bachelors,Engineering,Engineering Manager,3,7961,0,15.7,3.1,7.7,1.9,0,Remote,2,2.4,4,34,6,1.6,7.1,7.6,5,9.4,TRUE,3.5,No
1028,31,Male,Divorced,Bachelors,Finance,Financial Analyst,1,3575,1,12.3,5.7,11,3,4,Onsite,55,4.4,7,23,7.2,6.7,5.2,2.9,3,7.7,TRUE,7.4,Yes
1029,33,Male,Married,Bachelors,Sales,Account Executive,3,6436,0,17.6,1.9,9.4,0,3,Hybrid,40,4.8,29,43,7,3.9,8.5,5.7,4,9.6,TRUE,5.3,Yes
1030,21,Female,Divorced,Bachelors,Sales,Sales Development Rep,1,2527,0,15.7,0,1,0,2,Hybrid,42,5.4,24,21,6.2,4.3,5.1,6.5,4,7.8,FALSE,4.8,No
1031,39,Female,Married,High School,Engineering,QA Engineer,3,7757,0,10.7,5.9,11,5.9,1,Onsite,30,12.5,9,23,6.6,4.6,3.8,4.1,3,8.9,TRUE,5.2,No
1032,36,Female,Divorced,Bachelors,Customer Support,Support Specialist,3,5823,0,9.3,5.1,16,2.7,4,Hybrid,66,4,2,31,5.6,4.9,7.6,4.8,4,7.6,FALSE,5.1,Yes
1033,31,Male,Single,PhD,Customer Support,Support Team Lead,3,5579,3,8,10,11,1.5,2,Onsite,40,8.5,7,18,6.9,4.4,7.5,3.9,3,8.4,FALSE,6.9,No
1034,44,Male,Married,Bachelors,Finance,Financial Analyst,3,6331,1,9.6,5,12.3,5,2,Onsite,60,3.8,5,24,7.2,3.3,6.5,6.6,3,8.6,TRUE,6.6,No
1035,27,Female,Single,High School,Sales,Account Executive,2,3956,1,8.3,6,7,4.4,1,Hybrid,25,8.6,19,35,5.5,4.5,7.3,7.8,3,6.7,TRUE,7,No
1036,37,Female,Single,High School,Research & Development,Research Scientist,3,5225,0,13.4,6,12.8,0.3,1,Onsite,52,11,5,18,4.3,5.9,4.9,4.9,4,8.5,FALSE,3.9,Yes
1037,32,Female,Married,Masters,Human Resources,HR Business Partner,2,5769,0,12.8,7.8,12,1.5,0,Hybrid,52,5.3,4,8,5,3.8,5.1,6.1,3,6.6,TRUE,7.8,No
1038,39,Female,Divorced,Bachelors,Sales,Account Executive,2,6589,0,7.9,3.5,18,3.5,5,Onsite,43,24.8,27,37,6.1,8,4.7,2.7,3,8,TRUE,3.3,Yes
1039,25,Female,Married,Bachelors,Customer Support,Support Specialist,2,4496,0,14.4,4,5,1.7,3,Remote,5,2.7,4,18,8.1,1,7.5,7,3,7.4,FALSE,3.8,No
1040,37,Female,Single,PhD,Sales,Account Executive,3,8641,2,11.8,5.3,15.3,1.4,2,Hybrid,57,8.2,21,11,6.9,4.3,5.1,5.4,3,8.2,TRUE,7.4,No
1041,35,Male,Married,Masters,Operations,Program Manager,2,4762,0,8.1,2.9,12.9,1.2,3,Hybrid,17,1.7,24,26,7,1.1,8.3,6.4,4,8.7,FALSE,1.5,No
1042,36,Female,Single,Masters,Sales,Sales Development Rep,2,6301,0,10.1,4.3,12.2,3.2,2,Onsite,60,8.5,31,18,7.7,4.5,6.3,4.7,3,6.6,FALSE,6.4,No
1043,33,Female,Divorced,PhD,Engineering,Engineering Manager,5,10248,2,5.5,12,13,4,2,Hybrid,24,11.3,6,32,2.5,5.7,3.7,4.3,3,7.3,FALSE,3.1,Yes
1044,30,Male,Married,Bachelors,Operations,Program Manager,2,3807,0,10.4,2,6.8,2,0,Hybrid,56,7.9,17,4,7.4,4.5,7.3,6.8,4,10,FALSE,3.9,No
1045,35,Male,Married,Bachelors,Engineering,Engineering Manager,2,5780,1,5.5,11,15,3.1,3,Remote,7,5.3,7,16,9.6,4.4,6.7,5,3,7.1,FALSE,4.9,No
1046,25,Female,Single,Masters,Marketing,Marketing Specialist,4,10199,1,9.2,4,5,2.3,2,Remote,2,3.1,5,30,5.9,5.6,5.1,6.8,4,8.9,FALSE,6.2,No
1047,46,Male,Married,Masters,Finance,Financial Analyst,4,8535,1,12.6,5,17.3,3.9,5,Onsite,40,7.2,5,21,7.1,3.5,7.2,5.4,3,8,TRUE,4,No
1048,29,Non-binary,Married,Bachelors,Engineering,Software Engineer,2,5101,1,6.3,5.8,8.6,5.8,0,Hybrid,25,2.4,3,14,7,2.7,6.1,6.3,4,10,TRUE,4,No
1049,29,Female,Divorced,Bachelors,Operations,Operations Manager,3,6541,0,8.7,7.3,9,1.4,0,Remote,4,4,19,12,7.3,2.6,7.8,7.8,4,8.3,TRUE,7.1,No
1050,64,Male,Single,Bachelors,Human Resources,HR Business Partner,5,9537,1,11.7,12.4,15.9,0.9,1,Onsite,54,9.8,3,0,6.2,5.2,8.1,3.4,4,9.5,FALSE,4,No
1051,43,Male,Single,Masters,Finance,Accountant,3,9970,1,14.2,9.2,12.5,0.9,1,Remote,2,6.1,4,11,5.6,3.6,5.8,7.6,4,10,TRUE,5.3,No
1052,41,Female,Single,PhD,Sales,Sales Manager,2,5598,0,11.7,5.1,14.1,0.8,3,Onsite,44,13.5,26,38,4,6.3,6.1,5.1,3,8.4,FALSE,6,Yes
1053,52,Female,Married,High School,Sales,Account Executive,5,9619,1,11.6,15.5,23.9,3.3,3,Onsite,16,9.4,30,40,6.5,6.1,4.7,5.7,3,8.9,TRUE,5.3,No
1054,40,Male,Married,PhD,Marketing,Marketing Specialist,1,3818,1,14.7,7.6,11.2,2.1,2,Hybrid,49,1.8,6,30,5.4,4.8,6.1,7.1,4,8.4,TRUE,9,No
1055,31,Female,Single,Bachelors,Marketing,Content Strategist,1,3352,1,8.9,3.3,11,1.9,2,Onsite,31,5.6,7,23,7.9,3.9,7.2,5.6,4,7,FALSE,6.1,No
1056,29,Male,Single,Bachelors,Operations,Operations Manager,3,5951,3,8.2,4,8.5,3.3,2,Onsite,37,2,15,12,4.8,2.4,6,7.9,3,7.2,TRUE,6,No
1057,52,Male,Married,Bachelors,Human Resources,HR Business Partner,5,11329,1,8.1,11.6,22.1,2.6,4,Remote,3,3,6,6,4.9,2.6,6.1,8.3,4,8.6,FALSE,5.7,Yes
1058,30,Male,Married,Bachelors,Sales,Sales Development Rep,1,5383,2,11.7,5.5,7.4,0.6,1,Hybrid,49,5.6,15,47,4.5,5.2,6.9,5.7,4,9.9,TRUE,4.8,No
1059,30,Male,Single,Bachelors,Engineering,Engineering Manager,3,9308,0,10.1,9,10,4.3,0,Onsite,31,6.9,8,27,7.5,5.1,5.2,6,3,9.3,TRUE,1,No
1060,29,Female,Married,Bachelors,Customer Support,Customer Success Manager,3,6196,1,15.6,6.1,9,1.8,3,Onsite,25,2.5,7,15,5,4,4.4,6.1,4,9.3,TRUE,4.4,Yes
1061,35,Male,Married,Bachelors,Marketing,Content Strategist,5,8120,3,15.4,12.4,15,0.8,1,Hybrid,37,7.4,4,32,8.7,2.1,8.7,5.5,4,9.2,FALSE,5.8,No
1062,45,Female,Single,Masters,Sales,Sales Manager,3,6498,1,5.2,3.5,6.9,3,1,Onsite,49,7.4,16,21,4.1,7.7,4.2,4.4,4,7,TRUE,6.5,Yes
1063,48,Male,Single,Bachelors,Marketing,Content Strategist,5,9579,1,10.3,12.6,21,3,3,Onsite,17,5.5,7,1,7.9,6.3,7,7,3,8.4,TRUE,2.3,No
1064,38,Female,Married,Masters,Engineering,Engineering Manager,3,8541,2,11.6,8.1,15.6,3.1,2,Onsite,69,0.5,4,15,8,2.5,8.4,7.1,5,7.5,TRUE,4.8,No
1065,50,Male,Single,Bachelors,Customer Support,Support Specialist,5,12697,3,11.5,10.1,21.3,5.7,3,Hybrid,30,5.1,9,10,7.2,4.8,6.6,6.5,4,7.3,FALSE,5.1,No
1066,34,Female,Married,Masters,Research & Development,Product Researcher,1,5289,2,18.1,2,14,1.1,7,Onsite,46,4.8,4,35,5.7,5,4.9,7.2,3,7.7,TRUE,2.9,No
1067,26,Female,Married,High School,Engineering,QA Engineer,1,3363,0,12.3,5,6,2.2,3,Hybrid,34,10.3,4,3,6.8,4.2,5,5.8,5,8.5,TRUE,6.3,Yes
1068,29,Male,Single,Masters,Sales,Sales Development Rep,2,5712,0,11,4.6,8.3,2.5,1,Hybrid,17,4.5,19,25,8,4.3,6,5.9,4,9.2,FALSE,3.8,No
1069,47,Prefer not to say,Married,Masters,Operations,Program Manager,4,7021,2,10.3,10.8,18.4,1.7,3,Onsite,58,1.8,28,23,7.9,1.6,8.4,8.2,4,7.6,FALSE,2.5,No
1070,43,Male,Single,Bachelors,Sales,Account Executive,5,9332,1,13.9,12.5,20.2,2,2,Remote,10,9.6,28,30,5.6,2.4,7.9,5.9,5,8.1,FALSE,5.8,No
1071,40,Female,Single,Masters,Human Resources,HR Business Partner,1,3325,0,13.3,1.7,8.4,0.2,2,Hybrid,68,4.2,4,21,9.3,5.2,6.6,5.4,3,8.7,TRUE,5.6,No
1072,35,Female,Married,Masters,Sales,Account Executive,2,4756,1,9.5,3.7,12.4,3,3,Remote,3,3.9,21,8,5.3,5,6.1,6.1,4,8.3,FALSE,7.5,No
1073,37,Female,Single,Bachelors,Operations,Operations Manager,4,8897,2,13.2,6.8,17,1.1,5,Onsite,51,6.2,21,35,7,6,6.1,6.1,4,9.7,FALSE,4.2,Yes
1074,43,Male,Married,Masters,Research & Development,Product Researcher,3,9069,2,5.7,8.5,12.5,4.6,2,Hybrid,32,5.6,5,23,8.4,2.5,5.6,5.4,3,7,TRUE,2.7,No
1075,46,Male,Divorced,Bachelors,Customer Support,Support Specialist,4,7096,2,3.9,9.8,14.9,4.1,2,Hybrid,51,9.1,5,23,7.5,4.7,7.7,4.7,4,8,FALSE,5.8,No
1076,35,Male,Single,Bachelors,Finance,Finance Manager,2,5215,0,16.9,2.8,5.9,2.8,1,Remote,3,8.6,2,27,5.4,2.4,7.8,7.3,4,9.9,TRUE,4.3,No
1077,27,Female,Married,Bachelors,Engineering,Data Engineer,2,6495,1,14.4,6,7,2.1,3,Hybrid,23,6.2,6,12,5.7,2.3,5.9,6.4,3,10,FALSE,3.8,No
1078,21,Male,Single,Masters,Research & Development,Research Scientist,1,3873,0,16.4,0,1,0,0,Onsite,33,12.2,6,36,6.4,6.2,7.6,4.8,4,7.2,FALSE,3.8,No
1079,42,Female,Single,Masters,Engineering,Engineering Manager,5,11165,1,9.8,8.4,13.5,5.6,1,Hybrid,30,22.7,8,25,8.6,6.7,5.6,3.1,3,6.9,TRUE,4.3,Yes
1080,35,Female,Married,Bachelors,Sales,Sales Manager,3,6347,0,14.8,8.2,11.4,0.2,1,Onsite,64,6.7,25,38,7,4.5,6.6,5.6,4,6.2,TRUE,1.3,No
1081,33,Male,Married,PhD,Sales,Sales Manager,5,11339,1,12.5,11.1,13,3,2,Hybrid,26,10.8,22,28,6,5.2,5.8,4.8,3,10,TRUE,4.4,Yes
1082,44,Male,Married,Masters,Operations,Program Manager,4,8893,3,3.1,7.4,13.9,5.1,2,Onsite,43,5.4,27,27,6.4,5,5.8,5.4,3,8.8,TRUE,4.7,No
1083,35,Male,Divorced,Bachelors,Marketing,Growth Manager,3,6614,1,9.2,10.8,15,2.3,1,Hybrid,28,8.6,6,30,8.9,2.6,8.4,5.8,5,9,FALSE,4.9,No
1084,57,Female,Single,Masters,Engineering,Engineering Manager,4,12361,1,16.5,5.2,11,0.1,1,Hybrid,49,6,4,4,5.8,5,6,4.3,4,7.1,FALSE,5.3,Yes
1085,48,Female,Single,Masters,Engineering,QA Engineer,4,12428,2,14.8,11.3,13.6,0.6,0,Hybrid,9,2.9,7,42,5.1,2.9,6.6,6.2,3,8.5,FALSE,1,No
1086,40,Male,Married,Masters,Finance,Finance Manager,5,8059,2,10.2,7.8,18.3,2.4,1,Onsite,25,1,5,25,7,1,7.9,8.3,4,9.6,FALSE,6.1,No
1087,27,Male,Married,Masters,Marketing,Growth Manager,2,3701,0,10.8,3.1,7,1.9,2,Hybrid,29,3.2,10,29,8.4,3.4,8.2,7.1,4,7.8,TRUE,4.9,No
1088,49,Male,Single,Masters,Finance,Financial Analyst,4,9639,1,14.7,8.7,15.2,1.8,2,Remote,2,2.3,8,18,3.1,3.8,4.1,6.9,3,7.1,FALSE,7.3,No
1089,41,Female,Married,PhD,Human Resources,HR Manager,4,7759,1,10.4,11.5,18.2,0.3,2,Hybrid,75,3.4,4,20,8.5,3.4,9.5,6.2,4,6.3,FALSE,3.1,No
1090,43,Female,Married,PhD,Customer Support,Support Team Lead,4,7316,2,10.6,8,12.9,2.8,2,Hybrid,20,25.1,5,25,5.3,8.1,5.4,1.7,3,8.6,TRUE,7.8,Yes
1091,35,Female,Married,Masters,Customer Support,Support Team Lead,3,4834,0,13.4,11.4,14,1.4,1,Hybrid,33,6.3,9,24,8.7,3.4,8.1,7,3,7.3,TRUE,5.6,No
1092,42,Female,Divorced,Masters,Engineering,Engineering Manager,3,12827,0,12.8,6.1,16.1,3.6,3,Hybrid,29,6.8,6,17,5.4,4.8,6.1,5.8,4,7,TRUE,6.6,No
1093,39,Female,Single,Bachelors,Research & Development,R&D Manager,5,11271,2,13.6,9.5,16.2,1.2,3,Hybrid,65,2.4,4,18,5.5,2.5,8.3,7.6,4,10,FALSE,2.2,No
1094,37,Male,Single,Masters,Operations,Operations Analyst,2,5487,1,12.2,4.6,11.1,0,3,Remote,6,9.2,20,35,5.7,5.2,6,5.5,3,7.3,TRUE,5.4,No
1095,44,Male,Married,PhD,Finance,Accountant,3,7478,0,4,9.6,14.6,6.8,1,Onsite,61,2.8,6,34,9.9,3.6,7.1,6.4,3,7.5,TRUE,4.4,No
1096,45,Female,Divorced,Bachelors,Finance,Accountant,4,10479,3,14.1,7.4,20.8,1.6,4,Hybrid,10,1,4,0,7.9,2.6,7.2,7,4,8.5,TRUE,6.9,No
1097,42,Male,Married,Bachelors,Human Resources,HR Business Partner,3,9517,1,12.1,9,17.7,3.3,3,Remote,5,12.9,8,32,5.6,5.8,5.2,5.1,4,10,FALSE,5.4,No
1098,39,Male,Single,Bachelors,Customer Support,Customer Success Manager,2,3845,0,11.5,0,5,0,1,Onsite,41,8.4,7,19,6,5.2,6.2,5.5,3,7.3,FALSE,7.3,No
1099,43,Male,Single,Bachelors,Engineering,Software Engineer,3,8786,0,7.6,9.1,13.6,2.5,0,Onsite,46,10.6,3,14,9,3.4,7,5.9,4,7.8,TRUE,4.2,No
1100,40,Female,Single,Bachelors,Finance,Accountant,3,6843,0,8.3,7.2,16,1.9,2,Onsite,16,3.8,3,9,4.5,4.2,6.1,5.6,4,10,FALSE,6.5,No
1101,39,Female,Single,Masters,Customer Support,Customer Success Manager,4,6896,1,11.3,7.1,11.1,3.1,1,Onsite,44,8.8,8,6,5.1,4.2,5.2,6.1,3,8.3,FALSE,6.3,No
1102,34,Female,Married,Bachelors,Engineering,Engineering Manager,3,8610,1,5.9,5.5,11.9,2.4,1,Onsite,55,12.3,4,29,5.2,5.7,5.3,2.8,3,7.3,FALSE,3.4,Yes
1103,46,Male,Single,High School,Finance,Accountant,3,5311,2,11.5,7.9,12,3.5,2,Onsite,61,7.2,12,22,6.4,5.1,5.7,4.5,4,9.9,TRUE,4.6,No
1104,29,Female,Married,Bachelors,Sales,Account Executive,2,3939,1,5.5,6.1,9,1.8,1,Remote,0,12,23,20,6.8,4.7,6.2,2.6,4,8.9,FALSE,5.8,Yes
1105,33,Female,Married,Bachelors,Operations,Operations Analyst,2,3870,0,12,2.1,6.1,2.1,2,Onsite,39,2.5,23,13,7.2,5.1,5.1,5.2,3,7.8,FALSE,4.3,Yes
1106,38,Female,Married,High School,Engineering,Engineering Manager,3,7278,0,5,10.2,18,1.9,4,Hybrid,45,11.4,7,23,6.4,3.1,6.4,5.4,4,10,TRUE,3.2,No
1107,21,Male,Married,Bachelors,Finance,Financial Analyst,1,3319,0,16,0,1,0,4,Onsite,42,3,2,34,10,2.4,9.1,6.3,4,8,FALSE,1.5,No
1108,42,Male,Married,Bachelors,Customer Support,Support Specialist,5,7559,2,13.6,5.7,13.9,2.3,2,Hybrid,35,4.9,4,21,4,4.4,5.9,5.8,4,7.5,TRUE,6.5,Yes
1109,25,Male,Single,Bachelors,Finance,Accountant,2,6063,0,14,4,5,1.1,3,Hybrid,54,6.9,5,15,7.6,3,8.8,6.5,4,9.9,TRUE,5.5,No
1110,45,Male,Married,High School,Sales,Account Executive,5,8192,1,1.1,8.5,10.2,8.2,1,Hybrid,46,7.9,23,43,5.4,4.7,4.7,3.7,3,9.2,FALSE,5.2,No
1111,21,Male,Single,Masters,Finance,Financial Analyst,2,5479,1,13.2,0,1,0,2,Hybrid,74,1.6,3,30,8.2,2.5,8.7,7.1,4,7,FALSE,9.3,No
1112,43,Male,Married,Masters,Sales,Sales Manager,5,15173,1,12.2,12.3,17.4,3.3,0,Onsite,16,6.7,21,3,4.3,5.3,6.8,7.1,4,9.8,FALSE,3.3,No
1113,35,Male,Single,Bachelors,Operations,Program Manager,3,6494,0,4.7,3.2,7.7,1.4,1,Hybrid,75,10.3,25,22,5.5,5.9,4.4,3.7,4,8.2,TRUE,6,Yes
1114,31,Female,Married,Masters,Engineering,Data Engineer,3,9305,0,10.2,3.9,3.9,3.9,0,Hybrid,48,7.5,5,12,6.9,3.7,6,6.7,3,6,TRUE,1,No
1115,39,Female,Single,Masters,Engineering,QA Engineer,2,8979,1,9.6,9.7,14.4,4.6,0,Onsite,39,3.5,9,26,6.5,3.2,6.1,6.5,4,8.9,TRUE,2.6,No
1116,40,Female,Single,Bachelors,Engineering,Engineering Manager,5,11176,2,19.1,14.7,19.4,0,1,Onsite,60,4.8,7,11,7.8,4.3,8.9,6.4,4,6.3,FALSE,1,No
1117,43,Female,Married,Bachelors,Engineering,Data Engineer,3,7478,1,10.8,8.2,13.7,5.3,2,Hybrid,29,7,6,25,6.3,4.4,6,5.5,2,7,TRUE,4.7,Yes
1118,30,Female,Single,Masters,Human Resources,HR Business Partner,1,3953,0,6.6,5.8,10,2.7,2,Remote,2,4.6,7,40,8.5,2.4,6.1,8.2,3,5.8,FALSE,6,No
1119,43,Male,Single,Bachelors,Engineering,Engineering Manager,4,10662,1,12.4,7.1,8.4,5.1,0,Onsite,35,2.8,5,37,4.5,3.3,4.8,6.9,3,8.6,TRUE,2.1,Yes
1120,30,Female,Married,Bachelors,Marketing,Marketing Specialist,2,4192,0,10.1,0.5,7.1,0.5,2,Onsite,78,6.6,7,21,7.9,3.9,6.2,5.7,5,8.5,FALSE,7.8,No
1121,42,Male,Married,Bachelors,Finance,Accountant,4,9607,3,5.6,9.8,17.1,5.7,3,Hybrid,33,2.1,8,22,7.1,3.2,8.1,6.7,4,8.4,FALSE,4,No
1122,39,Female,Married,Masters,Customer Support,Customer Success Manager,5,10670,1,12.1,9.5,15.8,1.7,1,Hybrid,60,4.7,7,32,6.5,4.3,4.7,6.5,3,8.2,FALSE,5.7,No
1123,38,Female,Married,Bachelors,Sales,Sales Development Rep,4,8566,1,14.8,11.2,18,0.2,4,Onsite,53,3.3,17,26,6.2,5.7,6.2,6.3,4,9.8,FALSE,4.6,Yes
1124,34,Female,Married,Bachelors,Sales,Sales Manager,2,5469,2,11.3,6.3,12.4,0.1,1,Hybrid,20,9.3,19,12,5.6,4.2,4.8,5,3,7.9,FALSE,4.4,No
1125,43,Male,Single,Bachelors,Sales,Sales Manager,4,8986,2,12.1,7.2,14.3,3.3,1,Remote,0,8.2,25,20,7.6,3.9,7.4,6.7,3,8.3,FALSE,5.2,No
1126,24,Male,Divorced,Bachelors,Engineering,Data Engineer,1,4196,1,12.4,1.1,4,0.2,1,Onsite,66,1.9,3,6,10,4.7,8.7,4.5,4,8,FALSE,4.9,No
1127,41,Male,Married,PhD,Operations,Operations Analyst,4,9124,2,14.1,11.5,12.9,0.3,1,Hybrid,72,6.9,23,16,4.2,4.9,4.4,4.9,3,7.9,TRUE,3.5,No
1128,44,Female,Married,Bachelors,Customer Support,Support Specialist,5,8141,2,11.4,13.3,22.7,2.3,4,Onsite,50,8.1,3,7,6.3,5.4,5.1,5.2,3,7.3,FALSE,6.1,No
1129,41,Female,Single,Masters,Marketing,Marketing Specialist,4,6582,1,8.4,7.1,11.9,4.4,3,Remote,3,6.6,5,27,2.6,2.8,4.1,6.4,3,5.6,TRUE,5.3,No
1130,36,Female,Divorced,High School,Human Resources,Recruiter,3,6671,2,14.8,8.4,11.7,0.5,1,Onsite,27,5.5,7,48,5.2,5.9,6.4,8,3,8.2,TRUE,3.8,No
1131,24,Male,Married,Bachelors,Research & Development,Research Scientist,2,4909,1,8.9,3,4,3,0,Hybrid,27,2.2,9,33,8,3.1,9.3,5.9,3,8.9,TRUE,4.7,No
1132,50,Male,Married,PhD,Operations,Program Manager,5,11279,2,15.6,7.8,15.7,2.1,3,Onsite,43,3.5,19,16,7.4,2.9,7.5,7.2,4,7.1,FALSE,4,No
1133,42,Male,Married,Masters,Operations,Operations Manager,5,10354,1,11.7,3.1,4.4,1.7,1,Onsite,27,9.4,25,8,10,4.5,8,4.8,4,10,TRUE,3.4,No
1134,41,Male,Married,Masters,Customer Support,Customer Success Manager,3,6242,1,9.3,3.5,11.3,2.3,2,Hybrid,44,17.7,5,19,7.6,7.4,7,3.1,3,10,TRUE,6.9,No
1135,25,Male,Divorced,Bachelors,Engineering,QA Engineer,2,6165,2,7.9,4,5,4,1,Onsite,36,5.2,6,15,7.8,5.7,5.3,6.4,3,6.2,FALSE,3.9,No
1136,50,Female,Single,Masters,Finance,Finance Manager,4,7185,2,15.3,6.4,10.7,1.9,2,Hybrid,47,6.5,7,6,3.4,4,5.8,5,4,8.4,TRUE,4.7,Yes
1137,27,Female,Divorced,Bachelors,Operations,Operations Analyst,2,3892,0,13.1,1.7,6.5,1.7,1,Onsite,66,3.3,23,21,8.8,3.6,6.4,7.3,4,10,TRUE,5.1,No
1138,36,Male,Divorced,High School,Customer Support,Support Team Lead,3,4670,2,11.2,8.1,14.2,1.2,1,Remote,5,8.2,4,30,7.5,3,7.9,6.3,4,9.2,TRUE,8.1,No
